Altitude(ft),Pressure(Pa),Temperature(f)
5.119999999995343,101265.0,50.45
6.360000000000582,101266.5,50.45
4.509999999994761,101264.25,50.45
7.380000000004657,101267.75,50.45
4.509999999994761,101264.25,50.34
8.0,101268.5,50.34
6.759999999994761,101267.0,50.34
2.039999999993597,101261.25,50.34
1.8399999999965075,101261.0,50.22
1.639999999999418,101260.75,50.22
0.6100000000005821,101259.5,50.22
-1.0299999999988358,101257.5,50.11
-0.8200000000069849,101257.75,50.11
-0.41999999999825377,101258.25,50.11
1.0200000000040745,101260.0,50.11
-0.21000000000640284,101258.5,50.11
-1.4400000000023283,101257.0,50.11
-1.4400000000023283,101257.0,50.0
-5.540000000008149,101252.0,50.0
0.6100000000005821,101259.5,50.0
2.039999999993597,101261.25,50.0
-1.2400000000052387,101257.25,50.0
-1.639999999999418,101256.75,50.0
-4.309999999997672,101253.5,50.0
-4.510000000009313,101253.25,50.0
-2.2600000000093132,101256.0,50.0
-6.7700000000040745,101250.5,49.89
-4.919999999998254,101252.75,50.0
-6.360000000000582,101251.0,49.89
-6.150000000008731,101251.25,49.89
-6.150000000008731,101251.25,49.89
-3.279999999998836,101254.75,49.89
-1.4400000000023283,101257.0,49.89
-3.900000000008731,101254.0,49.89
-4.720000000001164,101253.0,49.89
-6.360000000000582,101251.0,49.78
-3.6900000000023283,101254.25,49.78
-6.360000000000582,101251.0,49.78
-4.309999999997672,101253.5,49.78
-6.7700000000040745,101250.5,49.78
-5.94999999999709,101251.5,49.78
-4.309999999997672,101253.5,49.78
-3.900000000008731,101254.0,49.66
-2.6699999999982538,101255.5,49.78
-4.919999999998254,101252.75,49.66
-5.740000000005239,101251.75,49.66
-4.100000000005821,101253.75,49.66
-7.389999999999418,101249.75,49.66
-7.180000000007567,101250.0,49.66
-11.279999999998836,101245.0,49.55
-9.029999999998836,101247.75,49.55
-5.740000000005239,101251.75,49.55
0.19999999999708962,101259.0,47.75
-9.229999999995925,101247.5,47.41
-10.669999999998254,101245.75,47.53
-21.74000000000524,101232.25,47.53
-30.35000000000582,101221.75,47.64
-31.779999999998836,101220.0,47.64
-32.60000000000582,101219.0,47.64
-36.7100000000064,101214.0,47.64
-39.779999999998836,101210.25,47.64
-40.60000000000582,101209.25,47.75
-42.65000000000873,101206.75,47.64
-44.91000000000349,101204.0,47.75
-46.55000000000291,101202.0,47.64
-43.470000000001164,101205.75,47.64
-42.65000000000873,101206.75,47.64
-22.55999999999767,101231.25,47.64
-7.389999999999418,101249.75,47.64
-8.0,101249.0,47.64
-4.720000000001164,101253.0,47.64
-5.130000000004657,101252.5,47.64
-7.180000000007567,101250.0,47.64
-4.720000000001164,101253.0,47.64
-6.360000000000582,101251.0,47.64
-7.5899999999965075,101249.5,47.64
-5.330000000001746,101252.25,47.64
-7.5899999999965075,101249.5,47.64
-7.180000000007567,101250.0,47.64
-6.150000000008731,101251.25,47.64
-4.510000000009313,101253.25,47.64
-5.94999999999709,101251.5,47.64
-4.100000000005821,101253.75,47.75
-6.360000000000582,101251.0,47.64
-2.460000000006403,101255.75,47.75
-7.389999999999418,101249.75,47.64
-4.919999999998254,101252.75,47.64
-7.180000000007567,101250.0,47.64
-8.210000000006403,101248.75,47.64
-3.0800000000017462,101255.0,47.64
-3.6900000000023283,101254.25,47.64
-3.279999999998836,101254.75,47.64
-5.94999999999709,101251.5,47.64
-3.0800000000017462,101255.0,47.64
-7.389999999999418,101249.75,47.64
-3.6900000000023283,101254.25,47.64
-6.360000000000582,101251.0,47.64
-6.7700000000040745,101250.5,47.64
-5.540000000008149,101252.0,47.64
-6.7700000000040745,101250.5,47.64
-6.7700000000040745,101250.5,47.64
-6.7700000000040745,101250.5,47.64
-6.970000000001164,101250.25,47.64
-6.970000000001164,101250.25,47.64
-4.100000000005821,101253.75,47.64
-6.559999999997672,101250.75,47.53
-4.919999999998254,101252.75,47.53
-3.6900000000023283,101254.25,47.53
-3.6900000000023283,101254.25,47.53
-4.510000000009313,101253.25,47.53
-2.460000000006403,101255.75,47.53
-2.2600000000093132,101256.0,47.53
-2.460000000006403,101255.75,47.53
-4.510000000009313,101253.25,47.53
-4.510000000009313,101253.25,47.53
-3.279999999998836,101254.75,47.53
-3.6900000000023283,101254.25,47.53
-3.279999999998836,101254.75,47.53
0.0,101258.75,47.64
-5.540000000008149,101252.0,47.53
-20.919999999998254,101233.25,47.53
-39.169999999998254,101211.0,47.53
-43.68000000000757,101205.5,47.53
-44.08999999999651,101205.0,47.53
-43.270000000004075,101206.0,47.53
-44.7100000000064,101204.25,47.53
-42.04000000000815,101207.5,47.53
-40.80999999999767,101209.0,47.64
-41.419999999998254,101208.25,47.53
-39.99000000000524,101210.0,47.64
-45.11000000000058,101203.75,47.53
-35.68000000000757,101215.25,47.64
-34.04000000000815,101217.25,47.64
-10.05000000000291,101246.5,47.53
-5.540000000008149,101252.0,47.64
-3.4900000000052387,101254.5,47.64
-8.0,101249.0,47.53
-6.150000000008731,101251.25,47.53
-3.6900000000023283,101254.25,47.53
-6.7700000000040745,101250.5,47.53
-6.360000000000582,101251.0,47.53
-7.180000000007567,101250.0,47.53
-6.7700000000040745,101250.5,47.53
-5.540000000008149,101252.0,47.53
-6.150000000008731,101251.25,47.53
-7.790000000008149,101249.25,47.53
-8.0,101249.0,47.53
-5.94999999999709,101251.5,47.53
-7.180000000007567,101250.0,47.53
-5.94999999999709,101251.5,47.53
-3.900000000008731,101254.0,47.53
-6.970000000001164,101250.25,47.53
-3.4900000000052387,101254.5,47.53
-5.94999999999709,101251.5,47.53
-9.229999999995925,101247.5,47.53
-8.820000000006985,101248.0,47.53
-7.5899999999965075,101249.5,47.53
-5.540000000008149,101252.0,47.53
-1.2400000000052387,101257.25,47.53
-2.6699999999982538,101255.5,47.53
-4.720000000001164,101253.0,47.53
-4.100000000005821,101253.75,47.53
-5.94999999999709,101251.5,47.53
-2.2600000000093132,101256.0,47.53
-6.559999999997672,101250.75,47.53
-2.8699999999953434,101255.25,47.53
-3.279999999998836,101254.75,47.53
-3.279999999998836,101254.75,47.53
-4.720000000001164,101253.0,47.53
-2.460000000006403,101255.75,47.53
-6.559999999997672,101250.75,47.53
-5.130000000004657,101252.5,47.53
-5.740000000005239,101251.75,47.53
-5.540000000008149,101252.0,47.53
-6.150000000008731,101251.25,47.53
-4.919999999998254,101252.75,47.53
-5.540000000008149,101252.0,47.53
-6.360000000000582,101251.0,47.53
-6.360000000000582,101251.0,47.53
-5.94999999999709,101251.5,47.53
-4.309999999997672,101253.5,47.53
-3.4900000000052387,101254.5,47.53
-2.6699999999982538,101255.5,47.53
-1.2400000000052387,101257.25,47.53
2.039999999993597,101261.25,47.53
-0.6199999999953434,101258.0,47.53
1.2200000000011642,101260.25,47.53
-1.0299999999988358,101257.5,47.53
-3.279999999998836,101254.75,47.53
0.0,101258.75,47.53
-0.21000000000640284,101258.5,47.53
-2.8699999999953434,101255.25,47.53
-1.8500000000058208,101256.5,47.53
0.39999999999417923,101259.25,47.53
-3.6900000000023283,101254.25,47.53
0.39999999999417923,101259.25,47.53
-2.2600000000093132,101256.0,47.53
0.39999999999417923,101259.25,47.53
-1.0299999999988358,101257.5,47.53
-1.2400000000052387,101257.25,47.53
-2.8699999999953434,101255.25,47.53
-2.2600000000093132,101256.0,47.53
-4.510000000009313,101253.25,47.53
-4.510000000009313,101253.25,47.41
-3.900000000008731,101254.0,47.41
-0.21000000000640284,101258.5,47.53
-4.919999999998254,101252.75,47.41
-2.2600000000093132,101256.0,47.53
-3.900000000008731,101254.0,47.53
-6.360000000000582,101251.0,47.53
-5.330000000001746,101252.25,47.53
-2.6699999999982538,101255.5,47.53
-4.510000000009313,101253.25,47.53
-3.279999999998836,101254.75,47.53
-2.8699999999953434,101255.25,47.53
-1.8500000000058208,101256.5,47.53
-1.639999999999418,101256.75,47.53
-3.0800000000017462,101255.0,47.53
-2.8699999999953434,101255.25,47.53
-3.279999999998836,101254.75,47.53
-2.0500000000029104,101256.25,47.53
-4.919999999998254,101252.75,47.41
-5.94999999999709,101251.5,47.41
-4.100000000005821,101253.75,47.41
-2.8699999999953434,101255.25,47.53
-4.309999999997672,101253.5,47.53
-4.100000000005821,101253.75,47.53
-4.510000000009313,101253.25,47.41
-4.510000000009313,101253.25,47.41
-6.150000000008731,101251.25,47.41
-4.510000000009313,101253.25,47.53
-5.94999999999709,101251.5,47.41
-3.900000000008731,101254.0,47.53
-6.150000000008731,101251.25,47.41
-5.740000000005239,101251.75,47.41
-3.4900000000052387,101254.5,47.53
-2.0500000000029104,101256.25,47.53
-2.460000000006403,101255.75,47.53
-4.510000000009313,101253.25,47.41
-4.510000000009313,101253.25,47.41
-7.389999999999418,101249.75,47.41
-4.100000000005821,101253.75,47.53
-5.94999999999709,101251.5,47.41
-4.720000000001164,101253.0,47.53
-6.970000000001164,101250.25,47.41
-5.540000000008149,101252.0,47.41
-8.410000000003492,101248.5,47.41
-5.540000000008149,101252.0,47.41
0.19999999999708962,101259.0,47.53
-2.6699999999982538,101255.5,47.53
-5.130000000004657,101252.5,47.53
-3.900000000008731,101254.0,47.53
-8.0,101249.0,47.41
-9.85000000000582,101246.75,47.41
-7.5899999999965075,101249.5,47.53
-9.229999999995925,101247.5,47.41
-7.5899999999965075,101249.5,47.41
-8.0,101249.0,47.41
-10.05000000000291,101246.5,47.41
-10.869999999995343,101245.5,47.41
-8.0,101249.0,47.41
-7.389999999999418,101249.75,47.41
-8.210000000006403,101248.75,47.3
-6.150000000008731,101251.25,47.41
-9.639999999999418,101247.0,47.3
-8.410000000003492,101248.5,47.3
-7.5899999999965075,101249.5,47.3
-9.430000000007567,101247.25,47.3
-9.85000000000582,101246.75,47.3
-8.610000000000582,101248.25,47.3
-9.430000000007567,101247.25,47.3
-9.229999999995925,101247.5,47.3
-12.710000000006403,101243.25,47.3
-11.070000000006985,101245.25,47.3
-9.639999999999418,101247.0,47.3
-7.180000000007567,101250.0,47.41
-12.919999999998254,101243.0,47.3
-12.10000000000582,101244.0,47.3
-10.05000000000291,101246.5,47.3
-11.070000000006985,101245.25,47.3
-10.869999999995343,101245.5,47.3
-9.430000000007567,101247.25,47.3
-12.510000000009313,101243.5,47.3
-13.94999999999709,101241.75,47.3
-11.490000000005239,101244.75,47.3
-11.889999999999418,101244.25,47.3
-12.919999999998254,101243.0,47.3
-13.330000000001746,101242.5,47.3
-15.589999999996508,101239.75,47.3
-20.10000000000582,101234.25,47.3
-17.029999999998836,101238.0,47.3
-19.69000000000233,101234.75,47.3
-30.139999999999418,101222.0,47.3
-48.19000000000233,101200.0,47.3
-44.7100000000064,101204.25,47.3
-39.779999999998836,101210.25,47.3
-47.99000000000524,101200.25,47.3
-23.99000000000524,101229.5,47.3
-15.589999999996508,101239.75,47.3
-14.770000000004075,101240.75,47.3
-12.309999999997672,101243.75,47.3
-13.130000000004657,101242.75,47.3
-13.130000000004657,101242.75,47.3
-12.510000000009313,101243.5,47.3
-11.279999999998836,101245.0,47.3
-13.529999999998836,101242.25,47.3
-10.669999999998254,101245.75,47.41
-10.460000000006403,101246.0,47.3
-11.490000000005239,101244.75,47.3
-11.279999999998836,101245.0,47.3
-10.669999999998254,101245.75,47.3
-12.10000000000582,101244.0,47.3
-11.889999999999418,101244.25,47.3
-13.529999999998836,101242.25,47.3
-13.94999999999709,101241.75,47.3
-12.309999999997672,101243.75,47.3
-13.740000000005239,101242.0,47.3
-15.790000000008149,101239.5,47.3
-18.05000000000291,101236.75,47.3
-13.94999999999709,101241.75,47.3
-12.919999999998254,101243.0,47.3
-11.490000000005239,101244.75,47.3
-11.070000000006985,101245.25,47.3
-5.740000000005239,101251.75,47.3
-4.919999999998254,101252.75,47.19
0.0,101258.75,47.08
-3.0800000000017462,101255.0,47.08
-11.070000000006985,101245.25,46.96
-9.85000000000582,101246.75,46.96
-18.869999999995343,101235.75,46.85
-13.94999999999709,101241.75,46.96
-13.740000000005239,101242.0,46.96
-14.35000000000582,101241.25,46.96
-17.430000000007567,101237.5,46.96
-14.970000000001164,101240.5,46.96
-9.639999999999418,101247.0,47.08
-12.510000000009313,101243.5,47.08
-13.130000000004657,101242.75,47.08
-9.430000000007567,101247.25,47.08
-9.029999999998836,101247.75,47.08
-10.25,101246.25,47.08
-8.0,101249.0,47.08
-9.430000000007567,101247.25,47.08
-9.430000000007567,101247.25,47.08
-6.970000000001164,101250.25,47.08
-10.05000000000291,101246.5,47.08
-7.5899999999965075,101249.5,47.08
-7.5899999999965075,101249.5,47.08
-9.85000000000582,101246.75,47.08
-11.279999999998836,101245.0,47.08
-9.229999999995925,101247.5,47.08
-12.309999999997672,101243.75,47.08
-12.510000000009313,101243.5,47.08
-8.610000000000582,101248.25,47.08
-9.85000000000582,101246.75,47.08
-8.820000000006985,101248.0,47.08
-7.180000000007567,101250.0,47.08
-10.669999999998254,101245.75,47.08
-9.229999999995925,101247.5,47.08
-9.229999999995925,101247.5,47.08
-11.279999999998836,101245.0,47.08
-11.490000000005239,101244.75,47.08
-11.279999999998836,101245.0,47.08
-7.790000000008149,101249.25,47.08
-8.610000000000582,101248.25,47.08
-10.05000000000291,101246.5,47.08
-9.85000000000582,101246.75,47.08
-12.309999999997672,101243.75,47.08
-7.389999999999418,101249.75,47.08
-8.610000000000582,101248.25,47.08
-8.610000000000582,101248.25,47.08
-10.869999999995343,101245.5,47.08
-11.490000000005239,101244.75,47.08
-11.490000000005239,101244.75,47.08
-12.10000000000582,101244.0,47.08
-8.820000000006985,101248.0,47.08
-9.229999999995925,101247.5,47.08
-10.460000000006403,101246.0,47.08
-5.130000000004657,101252.5,47.08
-9.229999999995925,101247.5,47.08
-9.430000000007567,101247.25,47.08
-9.029999999998836,101247.75,47.08
-9.229999999995925,101247.5,47.08
-10.460000000006403,101246.0,47.08
-11.279999999998836,101245.0,47.08
-11.070000000006985,101245.25,47.08
-10.460000000006403,101246.0,47.08
-10.25,101246.25,47.08
-7.389999999999418,101249.75,47.08
-9.85000000000582,101246.75,47.08
-10.25,101246.25,47.08
-9.639999999999418,101247.0,47.08
-13.330000000001746,101242.5,47.08
-9.029999999998836,101247.75,47.08
-6.970000000001164,101250.25,47.08
-11.690000000002328,101244.5,47.08
-9.85000000000582,101246.75,47.08
-9.85000000000582,101246.75,47.08
-11.279999999998836,101245.0,47.08
-7.5899999999965075,101249.5,47.08
-9.229999999995925,101247.5,47.08
-11.690000000002328,101244.5,47.08
-11.279999999998836,101245.0,47.08
-10.869999999995343,101245.5,47.08
-11.070000000006985,101245.25,47.08
-11.690000000002328,101244.5,47.08
-9.229999999995925,101247.5,47.08
-9.85000000000582,101246.75,47.08
-11.070000000006985,101245.25,47.08
-15.169999999998254,101240.25,47.08
-12.710000000006403,101243.25,47.08
-11.690000000002328,101244.5,47.08
-11.279999999998836,101245.0,47.08
-19.479999999995925,101235.0,47.08
-17.430000000007567,101237.5,47.08
-12.510000000009313,101243.5,47.19
-14.770000000004075,101240.75,47.08
-11.279999999998836,101245.0,47.19
-11.490000000005239,101244.75,47.08
-10.460000000006403,101246.0,47.08
-12.309999999997672,101243.75,47.08
-15.389999999999418,101240.0,47.08
-10.460000000006403,101246.0,47.19
-19.070000000006985,101235.5,47.08
-21.529999999998836,101232.5,47.08
-19.69000000000233,101234.75,47.19
-21.330000000001746,101232.75,47.08
-27.279999999998836,101225.5,47.08
-50.44999999999709,101197.25,47.19
-88.99000000000524,101150.25,47.19
-61.93000000000757,101183.25,47.3
-57.61999999999534,101188.5,47.3
-56.80000000000291,101189.5,47.3
-57.61999999999534,101188.5,47.41
-56.19000000000233,101190.25,47.41
-11.490000000005239,101244.75,47.41
-6.559999999997672,101250.75,47.53
-6.360000000000582,101251.0,47.41
-10.460000000006403,101246.0,47.41
-41.220000000001164,101208.5,47.41
-42.44999999999709,101207.0,47.41
-45.320000000006985,101203.5,47.41
-26.460000000006403,101226.5,47.41
-11.070000000006985,101245.25,47.41
-8.610000000000582,101248.25,47.41
-4.309999999997672,101253.5,47.41
-8.820000000006985,101248.0,47.41
-10.25,101246.25,47.41
-8.210000000006403,101248.75,47.41
-9.85000000000582,101246.75,47.41
-11.070000000006985,101245.25,47.41
-11.070000000006985,101245.25,47.41
-10.25,101246.25,47.41
-4.510000000009313,101253.25,47.41
-5.130000000004657,101252.5,47.41
-5.540000000008149,101252.0,47.41
-3.6900000000023283,101254.25,47.41
-6.150000000008731,101251.25,47.41
-6.970000000001164,101250.25,47.41
-6.559999999997672,101250.75,47.41
-8.820000000006985,101248.0,47.41
-7.5899999999965075,101249.5,47.41
-6.150000000008731,101251.25,47.53
-3.6900000000023283,101254.25,47.53
-11.490000000005239,101244.75,47.41
-5.130000000004657,101252.5,47.53
-7.5899999999965075,101249.5,47.53
-7.790000000008149,101249.25,47.53
-7.180000000007567,101250.0,47.53
-5.330000000001746,101252.25,47.53
-7.5899999999965075,101249.5,47.53
-7.180000000007567,101250.0,47.53
-4.100000000005821,101253.75,47.53
-7.180000000007567,101250.0,47.53
-7.5899999999965075,101249.5,47.53
-9.029999999998836,101247.75,47.53
-6.150000000008731,101251.25,47.53
-4.919999999998254,101252.75,47.53
-6.559999999997672,101250.75,47.53
-7.790000000008149,101249.25,47.53
-5.94999999999709,101251.5,47.53
-7.180000000007567,101250.0,47.53
-6.360000000000582,101251.0,47.53
-9.029999999998836,101247.75,47.53
-8.410000000003492,101248.5,47.53
-11.690000000002328,101244.5,47.53
-10.669999999998254,101245.75,47.53
-10.05000000000291,101246.5,47.53
-11.690000000002328,101244.5,47.53
-13.529999999998836,101242.25,47.53
-11.690000000002328,101244.5,47.53
-10.869999999995343,101245.5,47.53
-12.510000000009313,101243.5,47.53
-17.430000000007567,101237.5,47.53
-15.990000000005239,101239.25,47.64
-15.990000000005239,101239.25,47.64
-19.070000000006985,101235.5,47.64
-16.410000000003492,101238.75,47.64
-17.029999999998836,101238.0,47.64
-15.990000000005239,101239.25,47.64
-16.610000000000582,101238.5,47.64
-16.610000000000582,101238.5,47.64
-19.889999999999418,101234.5,47.64
-17.430000000007567,101237.5,47.64
-23.169999999998254,101230.5,47.64
-37.729999999995925,101212.75,47.64
-39.99000000000524,101210.0,47.53
-44.5,101204.5,47.53
-44.5,101204.5,47.53
-44.08999999999651,101205.0,47.41
-47.779999999998836,101200.5,47.41
-48.38999999999942,101199.75,47.53
-51.470000000001164,101196.0,47.53
-48.38999999999942,101199.75,47.53
-51.270000000004075,101196.25,47.41
-51.270000000004075,101196.25,47.41
-46.75,101201.75,47.41
-43.05999999999767,101206.25,47.41
-49.63000000000466,101198.25,47.41
-51.88000000000466,101195.5,47.41
-51.88000000000466,101195.5,47.41
-39.169999999998254,101211.0,47.53
-28.710000000006403,101223.75,47.53
-28.919999999998254,101223.5,47.53
-29.529999999998836,101222.75,47.41
-31.580000000001746,101220.25,47.41
-51.270000000004075,101196.25,47.41
-53.11000000000058,101194.0,47.41
-53.520000000004075,101193.5,47.41
-46.75,101201.75,47.53
-45.93000000000757,101202.75,47.53
-49.2100000000064,101198.75,47.41
-46.75,101201.75,47.53
-52.29000000000815,101195.0,47.53
-50.44999999999709,101197.25,47.53
-50.24000000000524,101197.5,47.53
-52.91000000000349,101194.25,47.53
-54.55000000000291,101192.25,47.53
-56.80000000000291,101189.5,47.53
-57.830000000001746,101188.25,47.53
-60.080000000001746,101185.5,47.53
-58.65000000000873,101187.25,47.53
-59.88000000000466,101185.75,47.53
-57.2100000000064,101189.0,47.53
-56.60000000000582,101189.75,47.53
-57.61999999999534,101188.5,47.53
-55.16000000000349,101191.5,47.64
-56.38999999999942,101190.0,47.64
-54.75,101192.0,47.64
-56.60000000000582,101189.75,47.64
-59.88000000000466,101185.75,47.53
-58.65000000000873,101187.25,47.53
-59.470000000001164,101186.25,47.53
-52.49000000000524,101194.75,47.64
-47.570000000006985,101200.75,47.64
-37.529999999998836,101213.0,47.53
-25.639999999999418,101227.5,47.64
-32.60000000000582,101219.0,47.53
-42.04000000000815,101207.5,47.41
-34.44999999999709,101216.75,47.41
-38.76000000000931,101211.5,47.41
-634.0299999999988,100485.75,47.3
-1377.5400000000081,99579.25,47.41
-1311.3099999999977,99660.0,47.64
-33.63000000000466,101217.75,47.86
-49.2100000000064,101198.75,47.97
-55.779999999998836,101190.75,47.97
-38.55000000000291,101211.75,48.09
-3.4900000000052387,101254.5,48.09
-5.94999999999709,101251.5,48.09
-30.760000000009313,101221.25,48.09
-22.970000000001164,101230.75,48.09
-12.309999999997672,101243.75,48.09
-10.869999999995343,101245.5,48.09
-17.430000000007567,101237.5,47.97
-26.460000000006403,101226.5,47.97
-6.360000000000582,101251.0,48.09
-4.720000000001164,101253.0,47.97
5.330000000001746,101265.25,47.97
4.30000000000291,101264.0,47.97
2.459999999991851,101261.75,47.97
7.580000000001746,101268.0,47.97
0.819999999992433,101259.75,47.97
-1.639999999999418,101256.75,47.97
-8.610000000000582,101248.25,47.97
-10.05000000000291,101246.5,47.97
-12.10000000000582,101244.0,47.97
-11.490000000005239,101244.75,47.97
-14.970000000001164,101240.5,47.97
-13.94999999999709,101241.75,47.97
-3.0800000000017462,101255.0,48.09
-3.0800000000017462,101255.0,48.09
-4.510000000009313,101253.25,48.09
-8.410000000003492,101248.5,48.09
-27.479999999995925,101225.25,48.09
1.4400000000023283,101260.5,48.09
1.4400000000023283,101260.5,48.09
2.039999999993597,101261.25,48.09
2.2599999999947613,101261.5,48.09
0.6100000000005821,101259.5,48.09
-3.0800000000017462,101255.0,48.09
-7.389999999999418,101249.75,48.09
-3.4900000000052387,101254.5,48.09
-8.610000000000582,101248.25,48.09
-3.279999999998836,101254.75,48.09
-8.610000000000582,101248.25,48.09
47.16000000000349,101316.25,48.42
11.069999999992433,101272.25,47.19
18.25,101281.0,47.41
20.70999999999185,101284.0,47.41
20.089999999996508,101283.25,47.41
21.330000000001746,101284.75,47.53
18.860000000000582,101281.75,47.53
20.910000000003492,101284.25,47.53
20.289999999993597,101283.5,47.53
23.580000000001746,101287.5,47.53
21.529999999998836,101285.0,47.53
20.910000000003492,101284.25,47.53
23.169999999998254,101287.0,47.53
22.55000000000291,101286.25,47.53
22.34999999999127,101286.0,47.53
21.529999999998836,101285.0,47.53
18.44999999999709,101281.25,47.53
16.80999999999767,101279.25,47.53
19.889999999999418,101283.0,47.53
17.429999999993015,101280.0,47.53
18.64999999999418,101281.5,47.53
18.25,101281.0,47.53
15.989999999990687,101278.25,47.53
20.089999999996508,101283.25,47.53
18.64999999999418,101281.5,47.53
19.270000000004075,101282.25,47.53
17.429999999993015,101280.0,47.53
15.989999999990687,101278.25,47.53
17.830000000001746,101280.5,47.53
17.630000000004657,101280.25,47.53
18.25,101281.0,47.53
20.910000000003492,101284.25,47.53
16.39999999999418,101278.75,47.53
20.70999999999185,101284.0,47.53
18.64999999999418,101281.5,47.53
18.64999999999418,101281.5,47.53
15.369999999995343,101277.5,47.53
18.039999999993597,101280.75,47.53
17.220000000001164,101279.75,47.53
15.369999999995343,101277.5,47.53
14.14999999999418,101276.0,47.53
18.64999999999418,101281.5,47.53
15.789999999993597,101278.0,47.53
14.349999999991269,101276.25,47.53
14.759999999994761,101276.75,47.53
13.940000000002328,101275.75,47.53
16.39999999999418,101278.75,47.53
14.970000000001164,101277.0,47.53
16.19000000000233,101278.5,47.53
16.610000000000582,101279.0,47.53
18.039999999993597,101280.75,47.53
17.220000000001164,101279.75,47.53
16.80999999999767,101279.25,47.53
15.989999999990687,101278.25,47.53
14.14999999999418,101276.0,47.53
13.119999999995343,101274.75,47.53
15.789999999993597,101278.0,47.53
13.529999999998836,101275.25,47.53
12.919999999998254,101274.5,47.53
12.30000000000291,101273.75,47.53
12.709999999991851,101274.25,47.53
14.349999999991269,101276.25,47.53
14.14999999999418,101276.0,47.53
17.429999999993015,101280.0,47.53
12.709999999991851,101274.25,47.53
14.55000000000291,101276.5,47.53
13.330000000001746,101275.0,47.53
16.610000000000582,101279.0,47.53
14.55000000000291,101276.5,47.53
15.580000000001746,101277.75,47.53
16.610000000000582,101279.0,47.53
17.429999999993015,101280.0,47.53
13.119999999995343,101274.75,47.53
12.509999999994761,101274.0,47.53
11.069999999992433,101272.25,47.53
12.709999999991851,101274.25,47.53
13.330000000001746,101275.0,47.53
12.709999999991851,101274.25,47.53
11.690000000002328,101273.0,47.53
10.039999999993597,101271.0,47.53
12.30000000000291,101273.75,47.53
16.39999999999418,101278.75,47.53
15.169999999998254,101277.25,47.53
14.14999999999418,101276.0,47.53
13.529999999998836,101275.25,47.53
